Año;Mes de choque;Rango horario;Cantidad de lesionados;Lugar del accidente;Coordenada X;Coordenada Y
2016;Diciembre;0 a 5:59;1;27 DE FEBRERO Y ENTRE RIOS;5439580,26;6352681,65
2016;Junio;0 a 5:59;1;LARREA Y PTE PERON;5434885,76;6353394,398
2016;Junio;0 a 5:59;1;CORRIENTES Y RIOBAMBA;5439553,97;6353217,1
2016;Julio;0 a 5:59;1;BUENOS AIRES Y RIOJA;5440804,5;6354720
2016;Diciembre;0 a 5:59;1;ROUILLON Y SAAVEDRA;5434455,37;6352381,34
2016;Diciembre;0 a 5:59;1;SAN MARTIN Y URIBURU;5439557,84;6350066,98
2016;Octubre;0 a 5:59;1;FELIPE MORE Y PELLEGRINI;5435157,06;6354763,36
2016;Julio;0 a 5:59;1;BROWN Y OVIDIO LAGOS;5438359,15;6356462,07
2016;FEBRERO;0 a 5:59;1;GALICIA Y ITURRASPE;5435445,44;6362983,76
2016;Diciembre;0 a 5:59;1;EUDORO CARRASCO Y GALLO;5435709,77;6361302,16
2016;Diciembre;0 a 5:59;1;GUTIERREZ JUAN MARIA Y SANTAFESINO;5441778.95;6349795.28
2016;Junio;0 a 5:59;1;JUNIN Y SUIZA;5435687,48;6357118,99
2016;FEBRERO;0 a 5:59;1;BRASIL 800;5432675,98;6355948,07
2016;Julio;0 a 5:59;1;KHANTUTA Y SAN MARTIN;5439139,3;6347696,67
2016;Enero;0 a 5:59;1;LINIERS Y PELLEGRINI;5434708,365;6354745,94
2016;Diciembre;0 a 5:59;1;FOREST Y MEJICO;5432834,72;6355235,01
2016;Agosto;0 a 5:59;1;BELGRANO Y LAPRIDA;5440835,1;6355162,62
2016;Agosto;0 a 5:59;1;BERTOLE Y RIVAROLA;;
2016;Octubre;0 a 5:59;1;IGUAZU Y VELEZ SARSFIELD;5435791,1;6357309,99
2016;Abril;0 a 5:59;1;BIEDMA Y OROÑO;5438109,345;6351390,24
2016;FEBRERO;0 a 5:59;1;FONTANARROSA Y MAZA;5435227,94;6362791,78
2016;FEBRERO;0 a 5:59;1;MENDOZA Y PROVINCIAS UNIDAS;5433358,09;6355622,41
2016;Abril;0 a 5:59;1;MAIZTEGUI Y PINTOR MUSTO;5434661,7;6363081
2016;Agosto;0 a 5:59;1;SIN DATOS;;
2016;FEBRERO;0 a 5:59;1;ARIJON Y MORENO;5438142,2;6348645,71
2016;marzo;0 a 5:59;1;SAAVEDRA Y SARMIENTO;5439606,29;6351480,75
2016;Enero;0 a 5:59;1;MENDOZA Y ROULLON;5434324,78;6355621,04
2016;marzo;0 a 5:59;1;BIEDMA Y CAFFERATA;5436454,45;6351730,85
2016;Enero;0 a 5:59;2;ENTRE RIOS Y VIRASORO;5439527,33;6352426,53
2016;Septiembre;0 a 5:59;1;27 DE FEBRERO Y ROUILLON;5434410,13;6353537,33
2016;Agosto;0 a 5:59;1;LAMADRID Y MORENO;5438113,94;6349298,65
2016;Abril;0 a 5:59;1;CORRIENTES Y PELLEGRINI;5439684,935;6353853,845
2016;Enero;0 a 5:59;1;CIRCUNVALACION Y SORRENTO;5432252,785;6359162,113
2016;Agosto;0 a 5:59;1;AVELLANEDA Y RUEDA;5435926,39;6353034,89
2016;Agosto;0 a 5:59;1;PROVINCIAS UNIDAS Y SEGUI;5433497,26;6352210,62
2016;Septiembre;0 a 5:59;1;AYOLAS Y SAN MARTIN;5439790,81;6351575,61
2016;FEBRERO;0 a 5:59;1;MENDOZA Y PROVINCIAS UNIDAS;5433358,09;6355622,41
2016;marzo;0 a 5:59;1;ARIJON Y SERRANO;5440959,82;6348764,06
2016;Junio;0 a 5:59;1;25 DE MAYO Y URIBURU;5434425,189;6349866,323
2016;Agosto;0 a 5:59;1;CORRIENTES Y PELLEGRINI;5439684,94;6353853,84
2016;Diciembre;0 a 5:59;1;LINIERS Y SAN JUAN;5434676;6355576,97
2016;Enero;0 a 5:59;1;TTE.AGNETA Y VELEZ SARSFIELD;5434491,32;6357244,97
2016;marzo;0 a 5:59;1;FRANCIA Y GODOY;5437434,89;6353909,632
2016;FEBRERO;0 a 5:59;1;AVELLANEDA Y GARAY;5435848,28;6352655,41
